@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
13,11,3,100,100,9,9,1,7,196,195,South
13,10,3,100,100,10,10,1,6,195,194,South
13,9,3,100,100,11,11,1,5,194,193,South
13,8,3,100,100,12,12,1,6,193,192,South
13,7,3,100,100,13,13,1,7,192,391,South
13,6,2,100,100,100,100,1,8,391,390,South
12,11,4,12,12,8,8,1,8,-1,-2,North
12,12,4,13,13,7,7,1,9,-2,197,North
13,12,3,100,100,8,8,1,8,197,196,East
13,11,3,100,100,9,9,1,7,196,195,South
13,10,3,100,100,10,10,1,6,195,194,South
13,9,3,100,100,11,11,1,5,194,193,South
13,8,3,100,100,12,12,1,6,193,192,South
13,7,3,100,100,13,13,1,7,192,391,South
13,6,2,100,100,100,100,1,8,391,390,South
12,6,2,100,100,100,100,1,9,390,389,West
11,6,2,100,100,100,100,1,10,389,388,West
10,6,2,100,100,100,100,1,11,388,387,West
9,6,2,100,100,100,100,1,12,387,386,West
8,6,2,100,100,100,100,1,13,386,385,West
7,6,2,100,100,100,100,1,14,385,384,West
6,6,2,100,100,100,100,1,15,384,583,West
5,6,1,100,100,100,100,1,16,583,582,West
5,7,1,100,100,100,100,1,15,582,581,North
5,8,1,100,100,100,100,1,14,581,580,North
5,9,1,100,100,100,100,1,13,580,579,North
6,9,1,100,100,100,100,1,12,579,578,East
6,10,1,100,100,100,100,1,13,578,577,North
6,11,1,100,100,100,100,1,14,577,576,North
6,12,1,100,100,100,100,1,15,576,775,North
12,11,4,12,12,8,8,1,8,-1,-2,North
12,12,4,13,13,7,7,1,9,-2,197,North
13,12,3,100,100,8,8,1,8,197,196,East
13,11,3,100,100,9,9,1,7,196,195,South
13,10,3,100,100,10,10,1,6,195,194,South
13,9,3,100,100,11,11,1,5,194,193,South
13,8,3,100,100,12,12,1,6,193,192,South
13,7,3,100,100,13,13,1,7,192,391,South
13,6,2,100,100,100,100,1,8,391,390,South
12,6,2,100,100,100,100,1,9,390,389,West
11,6,2,100,100,100,100,1,10,389,388,West
10,6,2,100,100,100,100,1,11,388,387,West
9,6,2,100,100,100,100,1,12,387,386,West
8,6,2,100,100,100,100,1,13,386,385,West
7,6,2,100,100,100,100,1,14,385,384,West
6,6,2,100,100,100,100,1,15,384,583,West
5,6,1,100,100,100,100,1,16,583,582,West
5,7,1,100,100,100,100,1,15,582,581,North
5,8,1,100,100,100,100,1,14,581,580,North
5,9,1,100,100,100,100,1,13,580,579,North
6,9,1,100,100,100,100,1,12,579,578,East
6,10,1,100,100,100,100,1,13,578,577,North
6,11,1,100,100,100,100,1,14,577,576,North
6,12,1,100,100,100,100,1,15,576,775,North
12,11,4,13,13,7,7,1,8,-1,-2,North
12,12,4,14,14,7,7,1,9,-2,-3,North
13,12,4,14,14,9,9,1,8,-3,-4,East
12,11,4,11,11,8,8,1,8,-1,-2,North
12,12,4,12,12,8,8,1,9,-2,197,North
13,12,3,100,100,8,8,1,8,197,196,East
13,11,3,100,100,8,8,1,7,196,195,South
13,10,3,100,100,9,9,1,6,195,194,South
13,9,3,100,100,9,9,1,5,194,393,South
14,9,2,100,100,100,100,1,4,393,392,East
14,10,2,100,100,100,100,1,5,392,391,North
14,11,2,100,100,100,100,1,6,391,390,North
14,12,2,100,100,100,100,1,7,390,389,North
14,13,2,100,100,100,100,1,8,389,388,North
13,13,2,100,100,100,100,1,9,388,387,West
12,13,2,100,100,100,100,1,10,387,386,West
11,13,2,100,100,100,100,1,11,386,385,West
11,14,2,100,100,100,100,1,12,385,384,North
10,14,2,100,100,100,100,1,13,384,383,West
