@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
8,6,2,100,100,100,100,0,100,377,376,East
8,7,2,100,100,100,100,0,100,376,375,North
8,8,2,100,100,100,100,0,100,375,374,North
8,9,2,100,100,100,100,0,100,374,373,North
8,10,2,100,100,100,100,0,100,373,372,North
8,11,2,100,100,100,100,0,100,372,371,North
8,12,2,100,100,100,100,0,100,371,370,North
9,12,2,100,100,100,100,0,100,370,369,East
10,12,2,100,100,100,100,0,100,369,368,East
11,12,2,100,100,100,100,0,100,368,367,East
12,12,2,100,100,100,100,0,100,367,366,East
13,12,2,100,100,100,100,0,100,366,365,East
13,11,2,100,100,100,100,0,100,365,364,South
13,10,2,100,100,100,100,0,100,364,363,South
13,9,2,100,100,100,100,0,100,363,362,South
13,8,2,100,100,100,100,0,100,362,361,South
13,7,2,100,100,100,100,0,100,361,360,South
13,6,2,100,100,100,100,0,100,360,359,South
13,5,2,100,100,100,100,0,100,359,358,South
13,4,2,100,100,100,100,0,100,358,357,South
14,4,2,100,100,100,100,0,100,357,356,East
14,3,2,100,100,100,100,0,100,356,355,South
15,3,2,100,100,100,100,0,100,355,354,East
16,3,2,100,100,100,100,0,100,354,353,East
17,3,2,100,100,100,100,0,100,353,352,East
17,4,2,100,100,100,100,0,100,352,351,North
18,4,2,100,100,100,100,0,100,351,350,East
19,4,2,100,100,100,100,0,100,350,549,East
20,4,1,100,100,100,100,0,100,549,548,East
21,4,1,100,100,100,100,0,100,548,547,East
21,3,1,100,100,100,100,0,100,547,546,South
22,3,1,100,100,100,100,0,100,546,745,East
1,17,4,14,14,15,15,0,100,-1,-2,South
1,16,4,14,14,13,13,0,100,-2,-3,South
1,15,4,14,14,12,12,0,100,-3,-4,South
1,14,4,13,13,11,11,0,100,-4,-5,South
1,13,4,11,11,11,11,0,100,-5,-6,South
1,12,4,10,10,9,9,0,100,-6,-7,South
1,11,4,10,10,7,7,0,100,-7,-8,South
1,10,4,8,8,7,7,0,100,-8,-9,South
1,9,4,8,8,6,6,0,100,-9,-10,South
1,8,4,6,6,5,5,0,100,-10,-11,South
1,7,4,4,4,4,4,0,100,-11,-12,South
1,6,4,3,3,4,4,0,100,-12,-13,South
1,5,4,3,3,6,6,0,100,-13,-14,South
1,4,4,3,3,6,6,0,100,-14,-15,South
1,5,4,2,2,6,6,0,100,-15,-16,North
2,5,4,2,2,5,5,0,100,-16,-17,East
2,4,4,2,2,5,5,0,100,-17,-18,South
2,3,4,2,2,5,5,0,100,-18,-19,South
2,4,4,2,2,3,3,0,100,-19,-20,North
3,4,3,100,100,3,3,0,100,180,179,East
3,5,3,100,100,1,1,0,100,179,378,North
4,5,2,100,100,100,100,0,100,378,377,East
4,6,2,100,100,100,100,0,100,377,376,North
4,7,2,100,100,100,100,0,100,376,375,North
4,8,2,100,100,100,100,0,100,375,374,North
4,9,1,100,100,100,100,0,100,574,573,North
4,10,1,100,100,100,100,0,100,573,572,North
5,10,1,100,100,100,100,0,100,572,771,East
1,17,4,19,19,24,24,0,100,-1,-2,South
1,16,4,18,18,22,22,0,100,-2,-3,South
1,15,4,16,16,22,22,0,100,-3,-4,South
1,14,4,14,14,20,20,0,100,-4,-5,South
1,13,4,14,14,18,18,0,100,-5,-6,South
1,12,4,12,12,17,17,0,100,-6,-7,South
1,11,4,12,12,15,15,0,100,-7,-8,South
1,10,4,12,12,15,15,0,100,-8,-9,South
1,9,4,12,12,15,15,0,100,-9,-10,South
1,8,4,11,11,15,15,0,100,-10,-11,South
1,7,4,9,9,14,14,0,100,-11,-12,South
1,6,4,7,7,12,12,0,100,-12,-13,South
2,6,4,7,7,12,12,0,100,-13,-14,East
3,6,4,5,5,11,11,0,100,-14,-15,East
3,7,4,4,4,12,12,0,100,-15,-16,North
3,8,4,4,4,13,13,0,100,-16,-17,North
3,9,4,2,2,13,13,0,100,-17,-18,North
4,9,4,2,2,11,11,0,100,-18,-19,East
5,9,3,100,100,10,10,0,100,181,180,East
5,8,3,100,100,8,8,0,100,180,179,South
5,7,3,100,100,8,8,0,100,179,178,South
5,6,3,100,100,7,7,0,100,178,177,South
6,6,3,100,100,5,5,0,100,177,176,East
7,6,3,100,100,5,5,0,100,176,175,East
8,6,3,100,100,5,5,0,100,175,174,East
8,7,3,100,100,3,3,0,100,174,173,North
9,7,3,100,100,3,3,0,100,173,172,East
9,8,3,100,100,3,3,0,100,172,171,North
9,7,3,100,100,3,3,0,100,171,170,South
9,8,3,100,100,1,1,0,100,170,369,North
10,8,2,100,100,100,100,0,100,369,368,East
10,9,2,100,100,100,100,0,100,368,367,North
10,10,2,100,100,100,100,0,100,367,366,North
10,11,2,100,100,100,100,0,100,366,365,North
10,12,2,100,100,100,100,0,100,365,364,North
11,12,2,100,100,100,100,0,100,364,363,East
12,12,2,100,100,100,100,0,100,363,362,East
13,12,2,100,100,100,100,0,100,362,361,East
14,12,2,100,100,100,100,0,100,361,360,East
14,13,2,100,100,100,100,0,100,360,359,North
14,14,2,100,100,100,100,0,100,359,358,North
14,15,2,100,100,100,100,0,100,358,357,North
14,16,2,100,100,100,100,0,100,357,356,North
14,17,2,100,100,100,100,0,100,356,355,North
15,17,2,100,100,100,100,0,100,355,354,East
16,17,2,100,100,100,100,0,100,354,353,East
17,17,2,100,100,100,100,0,100,353,352,East
18,17,2,100,100,100,100,0,100,352,351,East
19,17,2,100,100,100,100,0,100,351,350,East
20,17,2,100,100,100,100,0,100,350,349,East
20,16,2,100,100,100,100,0,100,349,348,South
20,15,2,100,100,100,100,0,100,348,347,South
21,15,2,100,100,100,100,0,100,347,346,East
22,15,2,100,100,100,100,0,100,346,345,East
22,14,2,100,100,100,100,0,100,345,344,South
22,15,2,100,100,100,100,0,100,344,343,North
23,15,2,100,100,100,100,0,100,343,342,East
23,14,2,100,100,100,100,0,100,342,541,South
24,14,1,100,100,100,100,0,100,541,540,East
24,15,1,100,100,100,100,0,100,540,539,North
23,15,1,100,100,100,100,0,100,539,538,West
22,15,1,100,100,100,100,0,100,538,537,West
21,15,1,100,100,100,100,0,100,537,536,West
20,15,1,100,100,100,100,0,100,536,535,West
20,14,1,100,100,100,100,0,100,535,534,South
20,13,1,100,100,100,100,0,100,534,533,South
20,12,1,100,100,100,100,0,100,533,532,South
20,11,1,100,100,100,100,0,100,532,531,South
20,10,1,100,100,100,100,0,100,531,530,South
21,10,1,100,100,100,100,0,100,530,529,East
22,10,1,100,100,100,100,0,100,529,528,East
23,10,1,100,100,100,100,0,100,528,527,East
23,9,1,100,100,100,100,0,100,527,526,South
1,17,4,15,15,14,14,0,100,-1,-2,South
1,16,4,13,13,12,12,0,100,-2,-3,South
1,15,4,12,12,10,10,0,100,-3,-4,South
1,14,4,10,10,9,9,0,100,-4,-5,South
1,13,4,9,9,9,9,0,100,-5,-6,South
1,12,4,7,7,7,7,0,100,-6,-7,South
1,11,4,7,7,6,6,0,100,-7,-8,South
1,10,4,7,7,4,4,0,100,-8,-9,South
1,9,4,7,7,3,3,0,100,-9,-10,South
1,8,4,6,6,3,3,0,100,-10,-11,South
1,7,4,4,4,2,2,0,100,-11,-12,South
2,3,2,100,100,100,100,0,100,384,383,East
2,4,2,100,100,100,100,0,100,383,382,North
2,5,2,100,100,100,100,0,100,382,381,North
2,6,2,100,100,100,100,0,100,381,380,North
