@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
13,8,2,100,100,100,100,0,100,360,359,South
13,7,2,100,100,100,100,0,100,359,358,South
13,6,2,100,100,100,100,0,100,358,357,South
13,5,2,100,100,100,100,0,100,357,356,South
13,4,2,100,100,100,100,0,100,356,355,South
13,3,2,100,100,100,100,0,100,355,354,South
13,4,2,100,100,100,100,0,100,354,353,North
14,4,2,100,100,100,100,0,100,353,352,East
15,4,2,100,100,100,100,0,100,352,351,East
15,3,2,100,100,100,100,0,100,351,350,South
16,3,2,100,100,100,100,0,100,350,349,East
16,4,1,100,100,100,100,0,100,549,548,North
17,4,1,100,100,100,100,0,100,548,547,East
18,4,1,100,100,100,100,0,100,547,546,East
19,4,1,100,100,100,100,0,100,546,545,East
19,5,1,100,100,100,100,0,100,545,544,North
19,6,1,100,100,100,100,0,100,544,543,North
20,6,1,100,100,100,100,0,100,543,542,East
21,6,1,100,100,100,100,0,100,542,541,East
22,6,1,100,100,100,100,0,100,541,540,East
23,6,1,100,100,100,100,0,100,540,539,East
23,5,1,100,100,100,100,0,100,539,538,South
23,6,1,100,100,100,100,0,100,538,537,North
24,6,1,100,100,100,100,0,100,537,536,East
25,6,1,100,100,100,100,0,100,536,535,East
25,7,1,100,100,100,100,0,100,535,734,North
1,17,4,17,17,23,23,0,100,-1,-2,South
1,16,4,17,17,22,22,0,100,-2,-3,South
1,15,4,15,15,22,22,0,100,-3,-4,South
1,14,4,15,15,21,21,0,100,-4,-5,South
1,13,4,13,13,20,20,0,100,-5,-6,South
1,12,4,11,11,18,18,0,100,-6,-7,South
1,11,4,10,10,18,18,0,100,-7,-8,South
1,10,4,10,10,17,17,0,100,-8,-9,South
1,9,4,10,10,15,15,0,100,-9,-10,South
1,8,4,10,10,13,13,0,100,-10,-11,South
1,7,4,8,8,11,11,0,100,-11,-12,South
1,6,4,8,8,9,9,0,100,-12,-13,South
2,6,4,7,7,9,9,0,100,-13,-14,East
3,6,4,7,7,7,7,0,100,-14,-15,East
3,7,4,5,5,9,9,0,100,-15,-16,North
3,8,4,3,3,9,9,0,100,-16,-17,North
3,9,4,3,3,11,11,0,100,-17,-18,North
3,8,4,2,2,10,10,0,100,-18,-19,South
4,8,3,100,100,9,9,0,100,181,180,East
4,7,3,100,100,8,8,0,100,180,179,South
4,6,3,100,100,8,8,0,100,179,178,South
5,6,3,100,100,8,8,0,100,178,177,East
5,5,3,100,100,8,8,0,100,177,176,South
5,4,3,100,100,7,7,0,100,176,175,South
5,3,3,100,100,5,5,0,100,175,174,South
6,3,3,100,100,5,5,0,100,174,173,East
7,3,3,100,100,3,3,0,100,173,172,East
8,3,3,100,100,1,1,0,100,172,371,East
9,3,2,100,100,100,100,0,100,371,370,East
9,4,2,100,100,100,100,0,100,370,369,North
9,5,2,100,100,100,100,0,100,369,368,North
9,6,2,100,100,100,100,0,100,368,367,North
9,7,2,100,100,100,100,0,100,367,366,North
9,8,2,100,100,100,100,0,100,366,365,North
9,9,2,100,100,100,100,0,100,365,364,North
9,10,2,100,100,100,100,0,100,364,363,North
9,11,2,100,100,100,100,0,100,363,362,North
9,12,2,100,100,100,100,0,100,362,361,North
10,12,2,100,100,100,100,0,100,361,360,East
11,12,2,100,100,100,100,0,100,360,359,East
12,12,2,100,100,100,100,0,100,359,358,East
13,12,2,100,100,100,100,0,100,358,357,East
13,11,2,100,100,100,100,0,100,357,356,South
13,10,2,100,100,100,100,0,100,356,355,South
14,10,2,100,100,100,100,0,100,355,354,East
15,10,2,100,100,100,100,0,100,354,353,East
16,10,2,100,100,100,100,0,100,353,352,East
17,10,2,100,100,100,100,0,100,352,351,East
18,10,2,100,100,100,100,0,100,351,350,East
19,10,2,100,100,100,100,0,100,350,349,East
20,10,2,100,100,100,100,0,100,349,348,East
21,10,2,100,100,100,100,0,100,348,347,East
22,10,2,100,100,100,100,0,100,347,346,East
23,10,2,100,100,100,100,0,100,346,345,East
23,9,2,100,100,100,100,0,100,345,344,South
24,9,2,100,100,100,100,0,100,344,343,East
24,10,2,100,100,100,100,0,100,343,342,North
24,11,2,100,100,100,100,0,100,342,341,North
24,10,1,100,100,100,100,0,100,541,540,South
23,10,1,100,100,100,100,0,100,540,539,West
22,10,1,100,100,100,100,0,100,539,538,West
21,10,1,100,100,100,100,0,100,538,537,West
20,10,1,100,100,100,100,0,100,537,536,West
20,11,1,100,100,100,100,0,100,536,535,North
20,12,1,100,100,100,100,0,100,535,534,North
20,13,1,100,100,100,100,0,100,534,533,North
20,14,1,32,32,30,30,0,100,533,532,North
20,15,1,100,100,100,100,0,100,532,531,North
20,16,1,100,100,100,100,0,100,531,530,North
20,17,1,100,100,100,100,0,100,530,529,North
20,18,1,100,100,100,100,0,100,529,728,North
