@RELATION pacman-data-training


   @ATTRIBUTE posicionpacmanx NUMERIC
   @ATTRIBUTE posicionpacmany NUMERIC
   @ATTRIBUTE fantasmasvivos NUMERIC
   @ATTRIBUTE distanciafantasma1 NUMERIC
   @ATTRIBUTE distanciafantasma2 NUMERIC
   @ATTRIBUTE distanciafantasma3 NUMERIC
   @ATTRIBUTE distanciafantasma4 NUMERIC
   @ATTRIBUTE numerocomidas NUMERIC
   @ATTRIBUTE distanciacomidamascercana NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE scoreSiguiente NUMERIC
   @ATTRIBUTE movimiento {North,South,East,West,Stop}

   @data
14,3,2,100,100,100,100,0,100,376,375,South
15,3,2,100,100,100,100,0,100,375,374,East
16,3,2,100,100,100,100,0,100,374,373,East
16,4,2,100,100,100,100,0,100,373,572,North
1,4,4,6,6,6,6,5,3,-1,-2,North
1,5,4,4,4,4,4,5,2,-2,-3,North
1,6,4,3,3,4,4,5,1,-3,96,North
1,7,4,2,2,2,2,4,2,96,295,North
1,8,3,100,100,2,2,4,1,295,394,North
1,9,2,100,100,100,100,3,2,594,593,North
1,10,2,100,100,100,100,3,3,593,592,North
1,9,2,100,100,100,100,3,2,592,591,South
2,9,2,9,9,2,2,3,1,591,690,East
3,9,2,100,100,100,100,2,4,690,889,East
4,9,1,100,100,100,100,2,5,889,888,East
4,8,1,100,100,100,100,2,4,888,887,South
4,7,1,100,100,100,100,2,3,887,886,South
4,6,1,100,100,100,100,2,2,886,885,South
4,5,1,100,100,100,100,2,1,885,884,South
4,4,1,100,100,100,100,2,2,884,883,South
3,4,1,100,100,100,100,2,1,883,982,West
1,5,4,6,6,7,7,0,100,-1,-2,South
1,4,4,5,5,7,7,0,100,-2,-3,South
2,4,4,3,3,5,5,0,100,-3,-4,East
3,4,4,3,3,5,5,0,100,-4,-5,East
4,4,4,1,1,3,3,0,100,-5,194,East
5,4,3,100,100,2,2,0,100,194,193,East
6,4,2,100,100,100,100,0,100,393,392,East
6,3,2,100,100,100,100,0,100,392,391,South
6,4,2,100,100,100,100,0,100,391,390,North
7,4,2,100,100,100,100,0,100,390,389,East
7,5,2,100,100,100,100,0,100,389,388,North
7,6,2,100,100,100,100,0,100,388,387,North
8,6,2,100,100,100,100,0,100,387,386,East
9,6,2,100,100,100,100,0,100,386,385,East
10,6,2,100,100,100,100,0,100,385,584,East
11,6,1,100,100,100,100,0,100,584,583,East
12,6,1,100,100,100,100,0,100,583,582,East
13,6,1,100,100,100,100,0,100,582,581,East
14,6,1,100,100,100,100,0,100,581,580,East
14,5,1,100,100,100,100,0,100,580,579,South
14,4,1,100,100,100,100,0,100,579,578,South
15,4,1,100,100,100,100,0,100,578,577,East
16,4,1,100,100,100,100,0,100,577,776,East
1,4,4,6,6,5,5,5,3,-1,-2,North
1,5,4,5,5,5,5,5,2,-2,-3,North
1,6,4,4,4,5,5,5,1,-3,96,North
1,7,4,4,4,4,4,4,2,96,95,North
1,6,4,6,6,4,4,4,3,95,94,South
