@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-6,11-12'

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute movimientofantasma1 {North,South,East,West,Stop,None}
@attribute movimientofantasma2 {North,South,East,West,Stop,None}
@attribute movimientofantasma3 {North,South,East,West,Stop,None}
@attribute movimientofantasma4 {North,South,East,West,Stop,None}
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
6,7,West,Stop,West,East,168,South
12,9,West,Stop,South,East,158,South
12,8,North,Stop,North,North,157,South
12,7,East,Stop,North,North,156,South
13,8,North,Stop,Stop,Stop,636,South
13,7,North,Stop,Stop,Stop,635,South
13,6,East,Stop,Stop,Stop,634,South
5,5,North,Stop,Stop,Stop,625,South
5,4,North,Stop,Stop,Stop,624,South
5,3,East,Stop,Stop,Stop,623,South
5,10,West,North,West,South,-6,South
5,9,East,North,West,North,-7,South
14,10,North,Stop,Stop,North,469,South
14,9,West,Stop,Stop,North,468,South
14,8,East,Stop,Stop,North,467,South
14,7,East,Stop,Stop,Stop,666,South
14,6,South,Stop,Stop,Stop,665,South
14,5,North,Stop,Stop,Stop,664,South
8,5,East,Stop,Stop,Stop,755,South
8,4,North,Stop,Stop,Stop,754,South
3,3,West,Stop,Stop,Stop,748,South
3,3,East,Stop,Stop,Stop,747,South
3,3,North,Stop,Stop,Stop,746,South
13,10,South,Stop,Stop,Stop,198,East
14,5,East,North,East,Stop,192,East
15,5,North,North,East,Stop,191,East
16,3,West,South,East,Stop,188,East
17,3,West,West,Stop,Stop,387,East
18,4,North,West,Stop,Stop,385,East
5,7,Stop,East,Stop,Stop,567,East
6,9,Stop,East,Stop,Stop,564,East
13,10,South,East,South,East,-2,East
14,10,West,North,South,East,-3,East
15,10,East,North,South,West,-4,East
14,5,North,South,North,East,-14,East
15,5,East,South,South,East,-15,East
16,5,South,North,West,East,-16,East
17,9,North,West,North,West,-21,East
18,9,East,East,North,West,78,East
16,14,North,North,North,Stop,269,East
8,14,South,East,Stop,Stop,453,East
9,14,South,South,Stop,Stop,452,East
10,14,West,North,Stop,Stop,451,East
11,14,North,Stop,Stop,Stop,650,East
12,7,East,Stop,Stop,Stop,642,East
13,7,North,Stop,Stop,Stop,641,East
14,7,South,Stop,Stop,Stop,640,East
15,7,West,Stop,Stop,Stop,639,East
16,7,West,Stop,Stop,Stop,638,East
17,7,West,Stop,Stop,Stop,637,East
2,11,North,West,East,North,-3,East
3,11,South,East,East,South,-4,East
4,11,East,South,East,North,-5,East
5,11,South,East,West,East,-6,East
6,7,East,Stop,West,South,189,East
7,7,North,Stop,East,South,188,East
8,7,West,Stop,East,North,187,East
9,7,West,Stop,East,North,186,East
8,4,Stop,Stop,East,West,378,East
9,4,Stop,Stop,East,South,377,East
10,4,Stop,Stop,West,East,376,East
11,10,Stop,Stop,Stop,North,669,East
11,10,Stop,Stop,Stop,South,668,East
12,9,Stop,Stop,Stop,South,666,East
13,9,Stop,Stop,Stop,West,665,East
14,9,Stop,Stop,Stop,North,664,East
2,9,North,North,East,East,-22,East
3,9,North,Stop,East,East,177,East
4,9,North,Stop,East,North,176,East
5,9,North,Stop,East,South,175,East
6,9,South,Stop,South,East,174,East
7,7,East,Stop,West,North,171,East
8,7,North,Stop,South,North,170,East
5,4,Stop,Stop,Stop,West,558,East
6,4,Stop,Stop,Stop,West,557,East
7,4,Stop,Stop,Stop,East,556,East
