@relation pacman-data-training-weka.filters.unsupervised.attribute.Remove-R8-11

@attribute posicionpacmanx numeric
@attribute posicionpacmany numeric
@attribute fantasmasvivos numeric
@attribute distanciafantasma1 numeric
@attribute distanciafantasma2 numeric
@attribute distanciafantasma3 numeric
@attribute distanciafantasma4 numeric
@attribute numerocomidas numeric
@attribute distanciacomidamascercana numeric
@attribute marcador numeric
@attribute movimiento {North,South,East,West,Stop}

@data
11,11,1,7,7,9223372036854776000,9223372036854776000,0,999999999,647,South
11,10,1,7,7,9223372036854776000,9223372036854776000,0,999999999,646,South
11,9,1,5,5,9223372036854776000,9223372036854776000,0,999999999,645,South
11,8,1,4,4,9223372036854776000,9223372036854776000,0,999999999,644,South
11,7,1,6,6,9223372036854776000,9223372036854776000,0,999999999,643,South
5,10,4,11,11,3,3,2,9,-7,South
5,9,4,9,9,3,3,2,8,-8,South
5,8,4,9,9,1,1,2,7,-9,South
5,7,3,8,8,9223372036854776000,9223372036854776000,2,6,190,South
9,6,3,4,4,9223372036854776000,9223372036854776000,2,1,185,South
9,5,3,3,3,9223372036854776000,9223372036854776000,2,2,184,South
9,4,3,1,1,9223372036854776000,9223372036854776000,2,3,183,South
9,3,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,4,382,South
11,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,4,667,South
1,10,4,11,11,5,5,2,13,-20,South
1,9,4,9,9,3,3,2,12,-21,South
6,8,3,9,9,9223372036854776000,9223372036854776000,2,6,173,South
6,7,3,8,8,9223372036854776000,9223372036854776000,2,5,172,South
8,6,3,2,2,9223372036854776000,9223372036854776000,2,2,169,South
8,5,3,2,2,9223372036854776000,9223372036854776000,2,3,168,South
8,4,3,2,2,9223372036854776000,9223372036854776000,2,4,167,South
4,3,2,4,4,9223372036854776000,9223372036854776000,2,9,362,South
4,3,2,3,3,9223372036854776000,9223372036854776000,2,9,361,South
4,3,2,2,2,9223372036854776000,9223372036854776000,2,9,360,South
10,6,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,8,649,South
10,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,9,648,South
11,10,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,725,South
11,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,0,999999999,724,South
14,10,4,14,14,9,9,1,8,85,South
14,9,4,12,12,9,9,1,7,84,South
14,8,4,11,11,9,9,1,6,83,South
14,7,3,11,11,10,10,1,5,282,South
8,8,2,9,9,2,2,1,4,472,South
8,7,2,8,8,3,3,1,3,471,South
8,6,2,6,6,3,3,1,2,470,South
8,5,2,6,6,5,5,1,3,469,South
8,4,2,4,4,5,5,1,4,468,South
5,3,2,3,3,9,9,1,8,464,South
5,3,2,4,4,10,10,1,8,463,South
8,13,3,8,8,5,5,1,14,178,South
8,12,3,6,6,3,3,1,13,177,South
8,11,3,4,4,1,1,1,12,176,South
8,10,2,4,4,9223372036854776000,9223372036854776000,1,11,375,South
6,9,2,3,3,9223372036854776000,9223372036854776000,1,12,372,South
6,8,2,3,3,9223372036854776000,9223372036854776000,1,13,371,South
6,7,2,4,4,9223372036854776000,9223372036854776000,1,14,370,South
4,6,1,5,5,9223372036854776000,9223372036854776000,1,17,567,South
18,9,4,14,14,19,19,0,999999999,92,South
18,8,4,13,13,19,19,0,999999999,91,South
18,7,4,13,13,21,21,0,999999999,90,South
9,13,1,6,6,9223372036854776000,9223372036854776000,0,999999999,649,South
9,12,1,6,6,9223372036854776000,9223372036854776000,0,999999999,648,South
12,9,4,10,10,6,6,1,6,-14,South
12,8,4,9,9,6,6,1,7,-15,South
15,7,4,12,12,11,11,1,5,-19,South
6,8,3,7,7,9223372036854776000,9223372036854776000,1,13,169,South
6,7,3,6,6,9223372036854776000,9223372036854776000,1,14,168,South
12,9,3,17,17,9223372036854776000,9223372036854776000,1,6,158,South
12,8,3,15,15,9223372036854776000,9223372036854776000,1,7,157,South
12,7,3,13,13,9223372036854776000,9223372036854776000,1,8,156,South
13,8,1,15,15,9223372036854776000,9223372036854776000,0,999999999,636,South
13,7,1,13,13,9223372036854776000,9223372036854776000,0,999999999,635,South
13,6,1,11,11,9223372036854776000,9223372036854776000,0,999999999,634,South
5,5,1,3,3,9223372036854776000,9223372036854776000,0,999999999,625,South
5,4,1,5,5,9223372036854776000,9223372036854776000,0,999999999,624,South
5,3,1,5,5,9223372036854776000,9223372036854776000,0,999999999,623,South
5,10,4,12,12,1,1,2,9,-6,South
5,9,4,10,10,3,3,2,8,-7,South
14,10,2,16,16,9223372036854776000,9223372036854776000,1,8,469,South
14,9,2,16,16,9223372036854776000,9223372036854776000,1,7,468,South
14,8,2,14,14,9223372036854776000,9223372036854776000,1,6,467,South
14,7,1,12,12,9223372036854776000,9223372036854776000,1,5,666,South
14,6,1,12,12,9223372036854776000,9223372036854776000,1,4,665,South
14,5,1,10,10,9223372036854776000,9223372036854776000,1,5,664,South
8,5,1,5,5,9223372036854776000,9223372036854776000,0,999999999,755,South
8,4,1,3,3,9223372036854776000,9223372036854776000,0,999999999,754,South
3,3,1,2,2,9223372036854776000,9223372036854776000,0,999999999,748,South
3,3,1,1,1,9223372036854776000,9223372036854776000,0,999999999,747,South
3,3,1,2,2,9223372036854776000,9223372036854776000,0,999999999,746,South
13,10,3,14,14,10,10,1,6,198,East
14,5,3,6,6,18,18,1,8,192,East
15,5,3,6,6,20,20,1,7,191,East
16,3,3,12,12,23,23,1,8,188,East
17,3,2,14,14,25,25,1,7,387,East
18,4,2,16,16,26,26,1,5,385,East
5,7,1,9223372036854776000,9223372036854776000,7,7,1,15,567,East
6,9,1,9223372036854776000,9223372036854776000,4,4,1,12,564,East
13,10,4,12,12,10,10,1,6,-2,East
14,10,4,14,14,12,12,1,5,-3,East
15,10,4,14,14,14,14,1,4,-4,East
14,5,4,8,8,16,16,1,8,-14,East
15,5,4,8,8,16,16,1,7,-15,East
16,5,4,10,10,18,18,1,6,-16,East
17,9,4,13,13,17,17,1,1,-21,East
18,9,4,13,13,17,17,0,999999999,78,East
16,14,3,13,13,11,11,0,999999999,269,East
8,14,2,16,16,3,3,0,999999999,453,East
9,14,2,15,15,3,3,0,999999999,452,East
10,14,2,13,13,1,1,0,999999999,451,East
11,14,1,11,11,9223372036854776000,9223372036854776000,0,999999999,650,East
12,7,1,6,6,9223372036854776000,9223372036854776000,0,999999999,642,East
13,7,1,6,6,9223372036854776000,9223372036854776000,0,999999999,641,East
14,7,1,4,4,9223372036854776000,9223372036854776000,0,999999999,640,East
15,7,1,2,2,9223372036854776000,9223372036854776000,0,999999999,639,East
16,7,1,2,2,9223372036854776000,9223372036854776000,0,999999999,638,East
17,7,1,4,4,9223372036854776000,9223372036854776000,0,999999999,637,East
2,11,4,11,11,7,7,2,13,-3,East
3,11,4,13,13,5,5,2,12,-4,East
4,11,4,13,13,5,5,2,11,-5,East
5,11,4,13,13,5,5,2,10,-6,East
6,7,3,7,7,9223372036854776000,9223372036854776000,2,5,189,East
7,7,3,5,5,9223372036854776000,9223372036854776000,2,4,188,East
8,7,3,3,3,9223372036854776000,9223372036854776000,2,3,187,East
9,7,3,4,4,9223372036854776000,9223372036854776000,2,2,186,East
8,4,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,4,378,East
9,4,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,3,377,East
10,4,2,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,2,376,East
11,10,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,3,669,East
11,10,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,3,668,East
12,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,3,666,East
13,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,2,665,East
14,9,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,1,664,East
2,9,4,10,10,1,1,2,11,-22,East
3,9,3,11,11,9223372036854776000,9223372036854776000,2,10,177,East
4,9,3,10,10,9223372036854776000,9223372036854776000,2,9,176,East
5,9,3,9,9,9223372036854776000,9223372036854776000,2,8,175,East
6,9,3,9,9,9223372036854776000,9223372036854776000,2,7,174,East
7,7,3,6,6,9223372036854776000,9223372036854776000,2,4,171,East
8,7,3,4,4,9223372036854776000,9223372036854776000,2,3,170,East
5,4,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,7,558,East
6,4,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,6,557,East
7,4,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,5,556,East
8,4,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,4,555,East
9,4,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,3,554,East
10,7,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,2,1,550,East
11,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,8,647,East
12,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,7,646,East
13,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,6,645,East
14,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,5,644,East
15,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,6,643,East
16,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,7,642,East
17,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,8,641,East
18,5,1,9223372036854776000,9223372036854776000,9223372036854776000,9223372036854776000,1,9,640,East
2,11,4,10,10,6,6,2,13,-2,East
3,11,4,11,11,6,6,2,12,-3,East
4,11,4,11,11,6,6,2,11,-4,East
5,11,4,12,12,6,6,2,10,-5,East
6,11,4,14,14,4,4,2,9,-6,East
7,11,4,14,14,5,5,2,8,-7,East
8,11,4,14,14,5,5,2,7,-8,East
9,11,4,14,14,5,5,2,6,-9,East
10,11,4,14,14,5,5,2,5,-10,East
11,11,4,14,14,5,5,2,4,-11,East
12,11,4,14,14,6,6,2,3,-12,East
13,11,4,16,16,8,8,2,2,-13,East
14,11,4,16,16,10,10,2,1,-14,East
2,7,1,9223372036854776000,9223372036854776000,9,9,1,9,652,East
3,7,1,9223372036854776000,9223372036854776000,7,7,1,8,651,East
4,7,1,9223372036854776000,9223372036854776000,5,5,1,7,650,East
5,7,1,9223372036854776000,9223372036854776000,3,3,1,6,649,East
6,7,1,9223372036854776000,9223372036854776000,3,3,1,5,648,East
7,7,1,9223372036854776000,9223372036854776000,3,3,1,4,647,East
13,10,4,14,14,8,8,1,6,-4,East
14,10,4,14,14,8,8,1,5,-5,East
15,13,4,19,19,9,9,1,7,-9,East
16,13,3,21,21,11,11,1,6,190,East
17,13,3,21,21,11,11,1,5,189,East
5,6,1,3,3,9223372036854776000,9223372036854776000,1,16,566,East
6,6,1,2,2,9223372036854776000,9223372036854776000,1,15,565,East
7,6,1,2,2,9223372036854776000,9223372036854776000,1,14,564,East
13,10,4,12,12,9,9,1,6,-2,East
14,10,4,14,14,11,11,1,5,-3,East
15,10,4,16,16,12,12,1,4,-4,East
16,10,4,16,16,14,14,1,3,-5,East
17,10,4,16,16,16,16,1,2,-6,East
18,10,4,16,16,18,18,1,1,-7,East
13,11,4,9,9,12,12,0,999999999,79,East
14,11,3,10,10,12,12,0,999999999,278,East
15,11,3,10,10,14,14,0,999999999,277,East
16,11,2,10,10,16,16,0,999999999,476,East
2,14,1,13,13,9223372036854776000,9223372036854776000,0,999999999,657,East
3,14,1,13,13,9223372036854776000,9223372036854776000,0,999999999,656,East
4,14,1,11,11,9223372036854776000,9223372036854776000,0,999999999,655,East
5,14,1,10,10,9223372036854776000,9223372036854776000,0,999999999,654,East
6,14,1,10,10,9223372036854776000,9223372036854776000,0,999999999,653,East
7,14,1,9,9,9223372036854776000,9223372036854776000,0,999999999,652,East
8,14,1,8,8,9223372036854776000,9223372036854776000,0,999999999,651,East
9,14,1,8,8,9223372036854776000,9223372036854776000,0,999999999,650,East
10,12,1,4,4,9223372036854776000,9223372036854776000,0,999999999,647,East
11,12,1,4,4,9223372036854776000,9223372036854776000,0,999999999,646,East
12,12,1,4,4,9223372036854776000,9223372036854776000,0,999999999,645,East
